Sound Id,Subsystem,description
0x0,UNK,Unknown (Used in self-test) (Stops sound)
"0x1	",UNK,"Silent     					"
"0x2	",UNK,"Noisy     					"
"0x3	",UNK,Stop playing? (used during idle)
"0x4	",MUSIC,Music Chip Test
"0x5	",SFX,Effects Chip Test
"0x6	",UNK,Unknown (Used in self-test)
"0x7	",UNK,Unknown (Used in self-test)
"0x8	",SPEECH,Speech Chip Test
"0x9	",SFX,"Warrior Joins In   				"
"0xa	",SFX,"Valkyrie Joins In   				"
"0xb	",SFX,"Wizard Joins In   				"
"0xc	",SFX,"Elf Joins In   					"
"0xd	",SFX,"Food Eaten    					"
"0xe	",SFX,"Red Player Exits   				"
"0xf	",SFX,"Blue Player Exits   				"
0x10,SFX,"	Yellow Player Exits   				"
0x11,SFX,"	Green Player Exits   				"
0x12,SFX,"	Doors Open    					"
0x13,SFX,"	Player Takes Key   				"
0x14,SFX,"	Warrior Dies    				"
0x15,SFX,"	Valkyrie Dies    				"
0x16,SFX,"	Wizard Dies    					"
0x17,SFX,"	Elf Dies    					"
0x18,SFX,"	Red Player's Heartbeat   			"
0x19,SFX,"	Blue Player's Heartbeat   			"
0x1a,SFX,"	Yellow Player's Heartbeat   			"
0x1b,SFX,"	Green Player's Heartbeat   			"
0x1c,SFX,"	Message Appears on Screen  			"
0x1d,SFX,"	Potion Used / Shot  				"
0x1e,SFX,"	Monster Hits PLayer   				"
0x1f,SFX,"	Ghost Hits Player   				"
0x20,SFX,"	Death Touches Player   				"
0x21,SFX,"	Death Silencer    				"
0x22,SFX,"	Red Coin Slot   				"
0x23,SFX,"	Blue Coin Slot   				"
0x24,SFX,"	Yellow Coin Slot   				"
0x25,SFX,"	Green Coin Slot   				"
0x26,SFX,"	Treasure / Potion Taken  			"
0x27,SFX,"	Trap / Walls Turn to Exits			"
0x28,SFX,"	Transporter     				"
0x29,SFX,"	Thief Warning    				"
0x2a,SFX,"	Treasure Chest Opens   				"
0x2b,SFX,"	Cylical Walls    				"
0x2c,SFX,"	Shots Reflecting    				"
0x2d,SFX,"	Mugger Warning    				"
0x2e,SFX,"	Player Touches Force Field  			"
0x2f,SFX,"	Force Field Silencer   				"
0x30,SFX,"	Secret Wall Shot   				"
0x31,SFX,"	Exit Moving    					"
0x32,SFX,"	High Tone Stun Tile  				"
0x33,SFX,"	Medium Tone Stun Tile  				"
0x34,SFX,"	Low Tone Stun Tile  				"
0x35,SFX,"	Player Touches IT   				"
0x36,SFX,"	Acid Puddle Slimes Player  			"
0x37,SFX,"	Slow Motion    					"
0x38,SFX,"	End of Slow Motion  				"
0x39,SFX,"	Slow Motion Silencer   				"
0x3a,SFX,"	Player Shoots Dragon   				"
0x3b,MUSIC,"	Gauntlet II Theme Song / Secret Room		"
0x3c,MUSIC,"	Theme Song Fade out  				"
0x3d,MUSIC,"	Treasure Room Music (4 Players) 		"
0x3e,MUSIC,"	Treasure Room Music (3 Players) 		"
0x3f,MUSIC,"	Treasure Room Music (2 Players) 		"
0x40,MUSIC,"	Treasure Room Music (1 Player) 			"
0x41,MUSIC,"	Treasure Room Music Fade Out 			"
0x42,MUSIC,"	Music at Beginning of Each Level		"
0x43,SFX,"	Unable to Join In  				"
0x44,SFX,"	No Potions    					"
0x45,SFX,"	Axe     					"
0x46,SFX,"	Fireball     					"
0x47,SFX,"	Sword     					"
0x48,SFX,"	Arrow     					"
0x49,SFX,"	Lobber Throwing Rock   				"
0x4a,SPEECH,"	""ONE""     					"
0x4b,SPEECH,"	""TWO""     					"
0x4c,SPEECH,"	""THREE""     					"
0x4d,SPEECH,"	""FOUR""     					"
0x4e,SPEECH,"	""FIVE""     					"
0x4f,SPEECH,"	""SIX""     					"
0x50,SPEECH,"	""SEVEN""     					"
0x51,SPEECH,"	""EIGHT""     					"
0x52,SPEECH,"	""NINE""     					"
0x53,SPEECH,"	""TEN""     					"
0x54,SPEECH,"	""ZERO""     					"
0x55,SPEECH,"	""TRY AND FIND THE WAY OUT!""			"
0x56,SPEECH,"	""WELCOME TO THE TREASURE ROOM."" 		"
0x57,SPEECH,"	""YOU HAVE FOUND MY TREASURE."" 			"
0x58,SPEECH,"	""TRY THIS LEVEL NOW!""  				"
0x59,SPEECH,"	""WELCOME""     					"
0x5a,SPEECH,"	""NEEDS FOOD, BADLY.""   				"
0x5b,SPEECH,"	""YOUR LIFE FORCE IS RUNNING OUT!""		"
0x5c,SPEECH,"	""ALL YOUR POWERS WILL BE LOST!""			"
0x5d,SPEECH,"	""IS ABOUT TO DIE!""  				"
0x5e,SPEECH,"	""LET'S SEE YOU GET OUT OF HERE!""		"
0x5f,SPEECH,"	""I'VE NOT SEEN SUCH BRAVERY!"" 			"
0x60,SPEECH,"	""THAT WAS A HEROIC EFFORT!"" 			"
0x61,SPEECH,"	""SOMEONE SHOT THE FOOD.""  			"
0x62,SPEECH,"	""HEE HEE HEE HEE HEE HEE HEE"" - Thief High Pitched	"
0x63,SPEECH,"	""YOU CAN'T CATCH ME!"" - Thief High Pitched		"
0x64,SPEECH,"	""HA HA HA HA"" - Thief Low Pitched			"
0x65,SPEECH,"	""YOU CAN'T CATCH ME!"" - Thief Low Pitched		"
0x66,SPEECH,"	""HEH HEH""    					"
0x67,SPEECH,"	""HA HA""    					"
0x68,SPEECH,"	""HAH HAW HAH HAW""  				"
0x69,SPEECH,"	""MMM..MM"" - Wizard   				"
0x6a,SPEECH,"	""ARGH"" - Wizard"
0x6b,SPEECH,"	""MMHH.."" - Wizard"
0x6c,SPEECH,"	""URGH"" - Wizard"
0x6d,SPEECH,"	""OOH"" - Wizard   				"
0x6e,SPEECH,"	""OW"" - Wizard   				"
0x6f,SPEECH,"	""AHH"" - Wizard					"
0x70,SPEECH,"	""SAYS YOU"" - Wizard 				"
0x71,SPEECH,"	""MMM...YES"" - Wizard   				"
0x72,SPEECH,"	""SO YOU SEE"" - Wizard 				"
0x73,SPEECH,"	""CAN YOU SEE?"" - Wizard 			"
0x74,SPEECH,"	""PERISH YE"" - Wizard  				"
0x75,SPEECH,"	""UH"" - Wizard   				"
0x76,SPEECH,"	""EEH EEH EEH EEH"" - Elf				"
0x77,SPEECH,"	""MMMM.."" - Elf   				"
0x78,SPEECH,"	""ARGH"" - Elf   					"
0x79,SPEECH,"	""OOH"" - Elf   					"
0x7a,SPEECH,"	""OOH"" - Elf   					"
0x7b,SPEECH,"	""AAH"" - Elf   					"
0x7c,SPEECH,"	""UH"" - Elf   					"
0x7d,SPEECH,"	""OOOH"" - Elf"
0x7e,SPEECH,"	""OW"" - Elf   					"
0x7f,SPEECH,"	""YEOW"" - Elf   					"
0x80,SPEECH,"	""OOOOH"" - Elf   				"
0x81,SPEECH,"	""OB"" - Warrior   				"
0x82,SPEECH,"	""OORUB"" - Warrior   				"
0x83,SPEECH,"	""OW"" - Warrior   				"
0x84,SPEECH,"	""OH"" - Warrior   				"
0x85,SPEECH,"	""OOH"" - Warrior   				"
0x86,SPEECH,"	""UH"" - Warrior   				"
0x87,SPEECH,"	""UHHHH.."" - Warrior   				"
0x88,SPEECH,"	""URRPPP"" - Warrior   				"
0x89,SPEECH,"	""OH"" - Valkyrie"
0x8a,SPEECH,"	""GULP"" - Valkyrie   				"
0x8b,SPEECH,"	""YOU JUST SHOT THE POTION!"" 			"
0x8c,SPEECH,"	""YOUR SHOWS NOW STUN OTHER PLAYERS.""		"
0x8d,SPEECH,"	""NOW HAS""    					"
0x8e,SPEECH,"	""LIMITED INVISIBILITY""    			"
0x8f,SPEECH,"	""EXTRA ARMOR""    				"
